id,name,longitude,latitude,type,importance,population
1,富阳区人民政府,119.951153,30.049712,government,10,0
2,大山村,119.788043,29.973123,village,6,2800
3,新岭村村委会,119.789385,29.941509,village_committee,6,0
4,双联村村委会,119.759999,29.955238,village_committee,6,0
5,上山村村委会,119.775633,29.999293,village_committee,6,0
6,富阳区新登镇上旺村村民委员会,119.758284,29.995378,village_committee,6,0
7,昌东村村委会,119.805772,30.008115,village_committee,6,0
8,双江村村委会,119.742904,29.970707,village_committee,6,0
9,五四村村委会,119.840755,29.981202,village_committee,6,0
10,松溪村村委会,119.752269,29.999451,village_committee,6,0
11,乘庄村村委会,119.744531,29.990192,village_committee,6,0
12,双塔村村委会(郎家庄),119.742534,29.951262,village_committee,6,0
13,官山村村委会,119.745573,29.997690,village_committee,6,0
14,方家井村村委会,119.837991,30.013673,village_committee,6,0
15,包秦村村委会,119.743889,30.012831,village_committee,6,0
16,宵井村村委会,119.829161,30.025657,village_committee,6,0
17,新中村村委会,119.818932,29.906259,village_committee,6,0
18,春渚村村委会,119.807880,29.898936,village_committee,6,0
19,洋沙村委会,119.853994,29.916825,village_committee,6,0
20,九儿村村委会,119.702027,29.966182,village_committee,6,0
21,南山村村委会,119.883883,29.986750,village_committee,6,0
22,唐昌村村委会,119.741725,30.040808,village_committee,6,0
23,上沙村村委会,119.842776,29.899547,village_committee,6,0
24,董湾村,119.737180,29.896798,village,6,0
25,葛溪村村委会,119.692622,29.989721,village_committee,6,0
26,徐家村村委会,119.859633,29.905407,village_committee,6,0
27,华丰村村委会,119.888831,29.936859,village_committee,6,0
28,富阳区鹿山街道三合村村民委员会,119.854386,29.984620,village_committee,6,0
29,富阳区富春街道春华村村民委员会,119.900834,30.044653,village_committee,6,0
30,富阳区富春街道三桥村村民委员会,119.902709,30.067878,village_committee,6,0
31,鹿山街道蒋家村村务监督委员会,119.904074,30.002272,village_committee,6,0
32,富阳区人民政府富春街道办事处,119.951153,30.048738,government,8,0
33,富阳市富春街道拔山村委员会,119.859547,30.080129,village_committee,6,0
34,富阳区春江街道中沙村村民委员会,119.956606,30.024331,village_committee,6,0
35,鹿山街道办事处,119.929979,30.011321,government,8,0
36,杭州市富阳区富春街道杨清庙村村委会,119.879366,30.071955,village_committee,6,0
37,富阳区鹿山街道新祥村退役军人服务站,119.822382,29.967043,village_committee,6,0
38,鹿山街道五四村村务监督委员会,119.840745,29.981343,village_committee,6,0
39,春江街道办事处,119.982075,30.014863,government,8,0
40,银湖街道办事处,119.940985,30.096845,government,8,0
41,东洲街道办事处(华墅沙路),120.021915,30.072770,government,8,0
42,富阳区鹿山街道五四村退役军人服务站,119.832218,29.983160,village_committee,6,0
43,银湖街道党群服务中心,119.940592,30.088273,government,7,0
44,富春街道党群服务中心,119.949157,30.048617,government,7,0
45,东洲街道党群服务中心,120.037577,30.079565,government,7,0
46,东洲街道建华村村民委员会,120.048655,30.065252,village_committee,6,0
47,富春街道三联社区居委会,119.898437,30.080118,community,7,0
48,东洲街道何埭村党群服务中心,120.009092,30.053685,village_committee,6,0
49,春江街道排涝管理站,119.974438,30.037659,government,5,0
50,中共春江街道中沙村支部委员会,119.967835,30.038120,village_committee,6,0
51,中共富阳区鹿山街道栋山村党支部,119.881027,29.981466,village_committee,6,0
52,富春街道恩波社区,119.957041,30.048597,community,7,0
53,富阳区东洲街道小沙村民委员会,119.993376,30.059410,village_committee,6,0
54,秦望社区居委会,119.938709,30.041727,community,7,0
55,金秋社区居委会,119.930332,30.056818,community,7,0
56,东洲街道张家村村民委员会,120.042190,30.053715,village_committee,6,0
57,富阳区鹿山街道春安村委会,119.909229,29.979375,village_committee,6,0
58,富春街道新汇社区党群服务中心,119.940882,30.067882,community,7,0
59,银湖街道征迁指挥部,119.932400,30.096704,government,5,0
60,富阳区富春街道镬子山社区居民委员会,119.958829,30.051590,community,7,0
61,人社服务窗口(富春街道执中亭村村民委员会),119.848309,30.026962,village_committee,6,0
62,人社服务窗口(鹿山街道山水社区党群服务中心),119.925701,30.011507,community,7,0